forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.1,146,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.25,146,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.5,147,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.75,151,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.9,156,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,15-34,quantile,0.975,164,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.025,397,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.1,401,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.25,406,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.5,412,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.75,420,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.9,429,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,35-59,quantile,0.975,442,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.025,388,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.1,392,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.25,397,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.5,403,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.75,412,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.9,421,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,60-79,quantile,0.975,435,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.025,203,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.1,205,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.25,206,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.5,209,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.75,211,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.9,214,COVID-19
2021-07-01,-26 day ahead inc hosp,2021-06-05,DE,80+,quantile,0.975,218,COVID-19
2021-07-01,-25 day ahead inc hosp,2021-06-06,DE,00-04,quantile,0.025,20,COVID-19
