date,location,age_group,value
2020-11-26,GM05,35-59,191
2020-11-26,GM05,60-79,265
2020-11-26,GM05,80+,277
2020-11-26,GM08,00-04,3
2020-11-26,GM08,00+,305
2020-11-26,GM08,05-14,1
2020-11-26,GM08,15-34,24
2020-11-26,GM08,35-59,57
2020-11-26,GM08,60-79,109
2020-11-26,GM08,80+,111
2020-11-26,GM01,00-04,8
2020-11-26,GM01,00+,1011
2020-11-26,GM01,05-14,8
2020-11-26,GM01,15-34,81
2020-11-26,GM01,35-59,201
2020-11-26,GM01,60-79,345
2020-11-26,GM01,80+,368
2020-11-26,GM02,00-04,7
2020-11-26,GM02,00+,1300
2020-11-26,GM02,05-14,8
2020-11-26,GM02,15-34,76
2020-11-26,GM02,35-59,265
2020-11-26,GM02,60-79,437
2020-11-26,GM02,80+,507
2020-11-26,GM09,00-04,1
2020-11-26,GM09,00+,60
2020-11-26,GM09,05-14,0
2020-11-26,GM09,15-34,5
2020-11-26,GM09,35-59,5
2020-11-26,GM09,60-79,20
2020-11-26,GM09,80+,29
2020-11-26,GM16,00-04,6
2020-11-26,GM16,00+,604
2020-11-26,GM16,05-14,4
2020-11-26,GM16,15-34,47
2020-11-26,GM16,35-59,119
2020-11-26,GM16,60-79,222
2020-11-26,GM16,80+,206
2020-11-26,GM11,00-04,3
2020-11-26,GM11,00+,253
2020-11-26,GM11,05-14,2
2020-11-26,GM11,15-34,12
2020-11-26,GM11,35-59,39
2020-11-26,GM11,60-79,88
2020-11-26,GM11,80+,109
2020-11-26,GM12,00-04,2
2020-11-26,GM12,00+,80
2020-11-26,GM12,05-14,0
2020-11-26,GM12,15-34,6
2020-11-26,GM12,35-59,14
2020-11-26,GM12,60-79,32
2020-11-26,GM12,80+,26
2020-11-26,GM13,00-04,4
2020-11-26,GM13,00+,849
2020-11-26,GM13,05-14,9
2020-11-26,GM13,15-34,29
2020-11-26,GM13,35-59,113
2020-11-26,GM13,60-79,326
2020-11-26,GM13,80+,368
2020-11-26,GM14,00-04,1
2020-11-26,GM14,00+,179
2020-11-26,GM14,05-14,2
2020-11-26,GM14,15-34,14
2020-11-26,GM14,35-59,37
2020-11-26,GM14,60-79,59
2020-11-26,GM14,80+,66
2020-11-26,GM15,00-04,1
2020-11-26,GM15,00+,224
2020-11-26,GM15,05-14,2
2020-11-26,GM15,15-34,6
2020-11-26,GM15,35-59,32
2020-11-26,GM15,60-79,87
2020-11-26,GM15,80+,96
2020-11-25,GM,00-04,54
2020-11-25,GM,00+,8078
2020-11-25,GM,05-14,57
2020-11-25,GM,15-34,590
2020-11-25,GM,35-59,1616
2020-11-25,GM,60-79,2879
2020-11-25,GM,80+,2882
2020-11-25,GM10,00-04,0
2020-11-25,GM10,00+,81
2020-11-25,GM10,05-14,2
2020-11-25,GM10,15-34,8
2020-11-25,GM10,35-59,21
2020-11-25,GM10,60-79,34
2020-11-25,GM10,80+,16
2020-11-25,GM04,00-04,1
2020-11-25,GM04,00+,126
